Date,Chiller 03 2Q3,Chiller 02 2Q9,Chiller 01 2Q10,Chiller CH-WC07301,CDD 15.5
2024-10-31,1067.875,844.90625,15.40625,1234.5006239430002,0.0
2024-11-01,1045.25,879.375,15.375,1248.7689529311997,0.0
2024-11-02,1046.875,799.90625,15.625,1258.9061087369998,0.0
2024-11-03,1052.375,780.8125,15.28125,1363.4470650363,0.0
2024-11-04,1057.5,636.90625,15.21875,1220.1305492851002,0.0
2024-11-05,1476.125,1093.59375,15.28125,1700.2620137563,0.0
2024-11-06,1997.125,1431.28125,15.0,2024.2769780790002,0.0
2024-11-07,1272.25,1145.90625,15.3125,1586.618784229,0.0
2024-11-08,1046.75,983.21875,15.40625,1285.6120837863,0.0
2024-11-09,1176.125,1132.0,15.5,1605.7530826166,0.0
2024-11-10,1555.375,1134.09375,15.1875,1784.1643210645,0.0
2024-11-11,1003.125,517.40625,15.09375,766.9882059556,0.0
2024-11-12,939.875,300.28125,15.40625,559.3284939794002,0.0
2024-11-13,925.5,221.5,15.40625,603.8631286647,0.0
2024-11-14,1264.25,875.40625,15.28125,1297.9280436969998,0.0
2024-11-15,1008.125,776.09375,15.40625,1125.4189935073002,0.0
2024-11-16,976.0,400.8125,15.3125,898.0580118810001,0.0
2024-11-17,969.5,383.78125,15.28125,909.2623162923999,0.0
2024-11-18,993.125,542.21875,15.21875,1099.1984296009002,0.0
2024-11-19,920.5,264.1875,15.1875,669.6273826474999,0.0
2024-11-20,453.125,541.8125,15.21875,342.7741096162999,0.0
2024-11-21,17.125,1091.28125,15.59375,271.6491307348,0.0
2024-11-22,17.625,1103.125,15.40625,288.95341657630007,0.0
2024-11-23,17.875,2410.28125,15.28125,1580.7184164176997,0.0
2024-11-24,17.75,1455.0,15.40625,540.1053786897999,0.0
2024-11-25,17.25,1155.40625,15.1875,355.5064266558999,0.0
2024-11-26,17.5,1123.1875,15.0,333.5812367625,0.0
2024-11-27,17.5,1151.21875,15.125,434.6654761822,0.0
2024-11-28,17.5,1643.40625,15.375,947.0121333110001,0.0
2024-11-29,17.5,2289.6875,15.21875,1474.3069119456998,0.0
2024-11-30,17.375,2457.59375,15.1875,1717.4489534228,0.0
2024-12-01,17.125,1725.59375,15.21875,1217.8510225543998,0.0
2024-12-02,16.875,1192.625,15.09375,581.8359678054,0.0
2024-12-03,16.75,1281.875,15.1875,675.9140171847998,0.0
2024-12-04,16.75,1678.71875,15.0,1080.6434572273001,0.0
2024-12-05,17.125,1828.09375,15.0,1160.5022719503,0.0
2024-12-06,17.0,1480.1875,15.0,766.1530374208,0.0
2024-12-07,17.0,1176.40625,14.90625,413.5512247075999,0.0
2024-12-08,17.125,1189.8125,15.09375,365.9001078962,0.0
2024-12-09,17.125,1209.0,15.09375,366.4253724136001,0.0
2024-12-10,16.5,1196.78125,15.125,363.8177272824999,0.0
2024-12-11,16.125,1196.40625,15.1875,440.5881710076,0.0
2024-12-12,16.875,1200.59375,15.09375,571.1028196267,0.0
2024-12-13,359.0,823.0,15.09375,580.2755162192001,0.0
2024-12-14,738.625,175.0,15.3125,631.4870123623,0.0
2024-12-15,996.25,494.3125,15.09375,809.4982151970999,0.0
2024-12-16,1263.125,315.6875,15.3125,964.236554627,0.0
2024-12-17,1879.5,169.0,15.28125,1232.2468649132002,0.0
2024-12-18,1577.125,90.8125,15.21875,898.8216422884999,0.0
2024-12-19,931.25,87.5,15.1875,368.1126317302,0.0
2024-12-20,943.875,371.5,15.3125,540.6712590947,0.0
2024-12-21,968.125,512.5,15.1875,695.3350694182,0.0
2024-12-22,871.875,115.3125,15.3125,377.80251675100004,0.0
2024-12-23,960.125,382.09375,15.1875,775.7969112828,0.0
2024-12-24,976.25,342.6875,15.09375,911.3527317388,0.0
2024-12-25,971.0,210.09375,15.40625,919.2980830898999,0.0
2024-12-26,982.375,190.90625,15.40625,864.1949607516001,0.0
2024-12-27,963.5,202.71875,15.3125,824.7192158035001,0.0
2024-12-28,687.25,186.6875,15.09375,762.5659587036001,0.0
2024-12-29,953.125,170.8125,15.5,756.2268353461,0.0
2024-12-30,939.75,219.28125,15.40625,845.3661728404998,0.0
2024-12-31,969.625,373.90625,15.28125,1067.3914771526001,0.0
2025-01-01,872.125,171.40625,15.3125,538.4460886044999,0.0
2025-01-02,846.875,132.5,15.28125,285.6333181554,0.0
2025-01-03,837.5,168.0,15.40625,235.64043738299995,0.0
2025-01-04,869.375,198.0,15.40625,283.71089346789995,0.0
2025-01-05,838.25,170.5,15.09375,264.92601296760006,0.0
2025-01-06,855.75,210.90625,15.3125,267.01955600979994,0.0
2025-01-07,861.375,288.09375,15.28125,253.95145551080003,0.0
2025-01-08,838.75,171.28125,15.5,330.4499295331,0.0
2025-01-09,554.875,403.5,15.3125,368.01390191979993,0.0
2025-01-10,0.0,1311.125,15.40625,621.2888140765999,0.0
2025-01-11,0.0,1378.0,15.09375,654.0394340434,0.0
2025-01-12,0.0,1443.28125,15.5,782.3045614889999,0.0
2025-01-13,0.0,1766.59375,15.1875,1068.5186401832998,0.0
2025-01-14,0.0,1847.21875,15.21875,1041.8246100679003,0.0
2025-01-15,0.0,1712.6875,15.40625,780.2170287717,0.0
2025-01-16,0.0,1812.40625,15.375,705.3948666878999,0.0
2025-01-17,0.0,1817.8125,15.21875,726.2997102649001,0.0
2025-01-18,0.0,1739.59375,15.5,701.4175163133001,0.0
2025-01-19,0.0,1573.40625,15.40625,750.5626996128999,0.0
2025-01-20,0.0,1517.6875,15.28125,787.9131624090002,0.0
2025-01-21,0.0,1403.1875,15.3125,539.2654186976,0.0
2025-01-22,0.0,1227.40625,15.1875,490.17151499319993,0.0
2025-01-23,0.0,1251.90625,15.21875,593.4232998396001,0.0
2025-01-24,0.0,1227.90625,15.1875,498.4192974008999,0.0
2025-01-25,0.0,1093.90625,15.1875,262.25707290689996,0.0
2025-01-26,0.0,1176.28125,15.3125,463.56007453419994,0.0
2025-01-27,0.0,1179.09375,15.09375,544.0046015311001,0.0
2025-01-28,400.75,861.5,15.3125,500.93830416910004,0.0
2025-01-29,908.375,265.625,15.09375,430.80407749129995,0.0
2025-01-30,1039.875,16.375,15.1875,507.00275588019997,0.0
2025-01-31,1031.125,16.40625,15.21875,597.5358191721999,0.0
2025-02-01,938.5,16.71875,15.5,794.2696038085,0.0
2025-02-02,935.75,16.1875,15.0,689.9454932564998,0.0
2025-02-03,1009.5,16.3125,15.40625,919.3215243623001,0.0
2025-02-04,1019.375,16.1875,15.28125,738.2052115157999,0.0
2025-02-05,1078.125,16.09375,15.3125,427.3947896764,0.0
2025-02-06,1061.625,16.40625,15.28125,346.4919582617,0.0
2025-02-07,1044.875,16.3125,15.40625,333.13299402560006,0.0
2025-02-08,984.5,16.5,15.40625,313.1051598561,0.0
2025-02-09,1000.75,16.375,15.3125,397.4852501602999,0.0
2025-02-10,1007.25,16.40625,15.375,381.3551045203,0.0
2025-02-11,991.25,16.40625,15.3125,347.81551930430004,0.0
2025-02-12,985.75,15.71875,14.46875,464.91762387989996,0.0
2025-02-13,1049.125,16.40625,15.3125,542.7752024412999,0.0
2025-02-14,1130.625,16.09375,15.09375,681.603467026,0.0
2025-02-15,1061.125,16.09375,15.3125,904.3551189751001,0.0
2025-02-16,942.375,16.3125,15.28125,691.8496121735001,0.0
2025-02-17,954.25,16.28125,15.3125,726.9850355303998,0.0
2025-02-18,1042.0,16.09375,15.3125,842.7738625579001,0.0
2025-02-19,1308.625,16.21875,15.1875,919.5423675804999,0.0
2025-02-20,2012.375,16.09375,15.1875,1096.9515329445,0.0
2025-02-21,1842.5,16.1875,15.21875,944.2913420859998,0.0
2025-02-22,1461.0,16.3125,15.28125,646.1012163735999,0.0
2025-02-23,1659.0,16.40625,15.71875,907.7486623854,0.0
2025-02-24,1311.125,16.28125,15.1875,541.5617668326001,0.0
2025-02-25,1148.375,16.3125,15.40625,370.33546979389996,0.0
2025-02-26,1235.0,16.1875,15.3125,463.41605168519993,0.0
2025-02-27,1179.875,16.125,15.28125,527.2366718922999,0.0
2025-02-28,1097.25,16.1875,15.3125,322.5494050209,0.0
2025-03-01,1007.625,16.40625,15.5,400.7426511390999,0.0
2025-03-02,1032.75,16.5,15.59375,342.34110310819983,0.0
2025-03-03,1001.5,16.28125,15.40625,401.0714938297999,0.0
2025-03-04,1218.25,16.5,15.6875,362.3642163709,0.0
2025-03-05,1136.75,16.21875,15.40625,441.61004723610006,0.0
2025-03-06,1219.125,16.28125,15.40625,817.9310151674001,0.0
2025-03-07,1286.0,16.40625,15.5,836.4974802352,0.0
2025-03-08,1225.0,16.40625,15.40625,880.0537857515,0.0
2025-03-09,1528.625,16.1875,15.28125,1009.4357324692,0.0
2025-03-10,1321.625,16.125,15.21875,697.8684395288998,0.0
2025-03-11,1147.0,16.28125,15.375,446.2430333134001,0.0
2025-03-12,1160.625,16.21875,15.40625,378.5917110369,0.0
2025-03-13,1190.25,16.28125,15.3125,364.79216603170005,0.0
2025-03-14,1035.5,16.40625,15.40625,403.9122501398001,0.0
2025-03-15,1144.75,16.1875,15.375,362.5901190493,0.0
2025-03-16,1137.125,16.40625,15.5,371.84004793549997,0.0
2025-03-17,1124.625,16.40625,15.71875,370.7760990819001,0.0
2025-03-18,1097.5,16.5,15.78125,419.33453161329993,0.0
2025-03-19,1104.0,16.3125,15.625,562.8570192497999,0.0
2025-03-20,1181.5,16.28125,15.5,661.4991447726,0.0
2025-03-21,1287.5,16.3125,15.6875,697.1019042613999,0.0
2025-03-22,1032.25,16.28125,15.6875,378.5669116182,0.0
2025-03-23,1089.625,16.40625,15.5,331.31323195959993,0.0
2025-03-24,1357.75,16.21875,15.21875,484.65482888610006,0.0
2025-03-25,1480.25,16.1875,15.1875,862.4168054006,0.0
2025-03-26,1200.375,16.5,15.59375,631.5183313031,0.0
2025-03-27,1242.625,16.40625,15.5,701.4814501194999,0.0
2025-03-28,1024.375,305.40625,15.40625,277.2551095322,0.0
2025-03-29,900.0,711.78125,15.59375,652.921338844,0.0
2025-03-30,874.0,808.09375,14.71875,831.9521469747998,0.0
2025-03-31,1204.5,327.5,15.5,770.0144186786,0.0
2025-04-01,1351.75,17.8125,15.6875,524.6607852814001,0.0
2025-04-02,1502.75,16.40625,15.5,589.2013970146,0.0
2025-04-03,1610.125,16.5,15.71875,828.2845404655999,0.0
2025-04-04,1766.875,16.40625,15.375,1295.2708199472002,0.0
2025-04-05,1693.875,16.375,15.40625,936.3041663600001,0.0
2025-04-06,1323.25,16.5,15.59375,141.7894033654,0.0
2025-04-07,1387.375,16.5,15.5,0.0,0.0
2025-04-08,1401.5,16.40625,15.40625,0.0,0.0
2025-04-09,1528.875,17.3125,14.78125,369.0217133889,0.1
2025-04-10,1416.75,16.40625,15.40625,637.5190922024001,0.0
2025-04-11,1530.875,16.28125,15.40625,781.260622191,0.2
2025-04-12,1270.875,16.3125,15.59375,577.2255496065,0.0
2025-04-13,1125.25,16.40625,15.59375,299.5969371824,0.0
2025-04-14,1259.0,16.1875,15.5,438.3624579764999,0.0
2025-04-15,1223.875,16.40625,15.5,453.13574573719995,0.0
2025-04-16,1268.375,16.3125,15.5,579.1086953264,0.0
2025-04-17,1181.5,16.1875,15.59375,485.42647255879996,0.0
2025-04-18,1388.625,15.90625,15.40625,960.0055690938,0.0
2025-04-19,1317.125,16.0,15.40625,1113.2680768009002,0.0
2025-04-20,1218.375,16.0,15.1875,884.5449417,0.0
2025-04-21,1347.625,16.1875,15.3125,792.8405294180999,0.0
2025-04-22,1318.125,16.21875,15.5,841.9124576736998,0.0
2025-04-23,1395.375,17.5,15.28125,1014.5410518141001,0.0
2025-04-24,1596.5,16.1875,15.5,1202.6846551132,0.0
2025-04-25,1828.375,16.1875,15.40625,1262.8815743883001,0.0
2025-04-26,1546.625,16.21875,15.40625,977.9428984703,0.0
2025-04-27,1855.875,16.40625,15.59375,1309.6712107026,0.0
2025-04-28,1753.0,16.09375,15.3125,1257.1271271996002,0.0
2025-04-29,2089.125,16.1875,15.28125,1387.0312318832,0.5
2025-04-30,2540.375,16.21875,15.3125,1641.7036255306,1.2
2025-05-01,3315.875,16.09375,15.0,2154.7781240553,2.4
2025-05-02,1865.25,16.28125,15.5,1278.1294239654,0.2
2025-05-03,1593.0,16.3125,15.5,982.5199952779998,0.0
2025-05-04,1399.5,16.3125,15.5,723.8351676116,0.0
2025-05-05,1315.25,16.28125,15.5,518.4594212928,0.0
2025-05-06,1373.125,16.21875,15.3125,596.8489956361999,0.0
2025-05-07,1754.75,17.78125,15.375,904.4307740494,0.0
2025-05-08,1652.25,16.3125,15.40625,885.5666769943997,0.0
2025-05-09,1580.125,16.09375,15.5,823.8705776501,0.0
2025-05-10,1779.375,16.3125,15.40625,984.2636914834,0.3
2025-05-11,1936.25,16.28125,15.3125,1138.1308579811,0.6
2025-05-12,1922.0,16.40625,15.28125,1212.5236337012002,0.1
2025-05-13,2827.875,16.3125,15.3125,1825.9672086359994,0.6
2025-05-14,2454.75,16.28125,15.1875,1568.6603942989,0.7
2025-05-15,2463.75,16.40625,15.3125,1409.1287877964999,1.2
2025-05-16,2236.75,16.5,15.28125,1304.7292209028,0.4
2025-05-17,2336.375,16.59375,15.5,1287.4493071786,1.0
2025-05-18,2360.5,16.59375,15.40625,1312.541854528,0.8
2025-05-19,2136.0,17.8125,15.09375,1364.1850418082001,0.4
2025-05-20,2055.75,16.40625,15.40625,1382.4128991939,0.0
2025-05-21,2578.625,16.28125,15.3125,1610.9534203675998,1.4
2025-05-22,2753.5,16.3125,15.40625,1644.0683705803,1.7
2025-05-23,2765.5,16.3125,15.5,1655.6152864621,0.7
2025-05-24,3241.75,16.375,15.375,2115.7814451636004,0.0
2025-05-25,1610.25,16.5,15.5,928.6676893013998,0.0
2025-05-26,1682.0,16.40625,15.625,984.1597151374,0.0
2025-05-27,2442.125,16.21875,15.375,1512.5677317655998,0.4
2025-05-28,2277.375,16.375,15.40625,1666.4704146912006,0.5
2025-05-29,3748.0,16.3125,15.5,2400.7613850396997,0.0
2025-05-30,3365.0,16.40625,15.21875,2280.1933984352004,0.7
2025-05-31,2523.0,16.1875,15.375,1674.2753943594,0.2
2025-06-01,1842.25,16.40625,15.3125,1138.9080977437,0.1
2025-06-02,1473.625,16.40625,15.5,958.4059956180001,0.0
2025-06-03,1628.25,17.59375,15.3125,1072.8277255452,0.0
2025-06-04,1475.875,16.40625,15.375,997.1063973154999,0.0
2025-06-05,1721.5,16.6875,15.625,1310.6019409010999,0.0
2025-06-06,1452.25,16.3125,15.5,930.2146818192001,0.0
2025-06-07,1441.75,16.5,15.59375,968.9394247283002,0.0
2025-06-08,1543.5,16.59375,15.6875,1002.180861317,0.0
2025-06-09,2091.75,16.6875,15.8125,1443.8136272582,0.0
2025-06-10,2751.0,16.5,15.40625,1928.4546329849998,0.4
2025-06-11,2404.25,16.625,15.59375,1464.5125355977,0.0
2025-06-12,3722.0,16.5,15.5,2242.6825713729004,0.0
2025-06-13,3213.25,16.5,15.40625,1951.4444043090998,0.2
2025-06-14,2728.25,16.5,15.5,1862.4671130503998,0.8
2025-06-15,2960.0,16.6875,15.59375,2280.692047902,1.5
2025-06-16,2612.5,16.5,15.5,1887.0856025794997,0.7
2025-06-17,3924.75,16.40625,15.40625,2856.0852223648,2.1
2025-06-18,2829.125,18.0,15.28125,1845.3242353886,1.0
2025-06-19,3831.5,16.40625,15.40625,2548.986454974,2.0
2025-06-20,4970.875,16.28125,15.3125,3298.7217953448,2.4
2025-06-21,3766.0,16.5,15.6875,2350.8311391076004,1.0
2025-06-22,3544.125,16.40625,15.5,2290.3795236366,0.6
2025-06-23,2465.125,16.3125,15.3125,1818.8963885909995,0.7
2025-06-24,4445.125,15.78125,14.78125,3329.8861752724006,1.3
2025-06-25,3742.625,16.5,15.625,2268.2044012105002,0.5
2025-06-26,2653.5,23.21875,15.59375,1672.4576340906,0.2
2025-06-27,4636.0,18.28125,99.1875,2962.2430710064,0.8
2025-06-28,5322.125,16.21875,15.3125,3147.28720439,1.3
2025-06-29,5289.75,16.28125,15.1875,2968.4875016368997,1.3
2025-06-30,4453.75,16.3125,15.40625,2819.370637302999,1.3
2025-07-01,2301.875,16.5,15.40625,1643.4451755101004,0.7
2025-07-02,2095.375,16.5,15.5,1557.4371686108,0.8
2025-07-03,2464.625,16.40625,15.5,1697.6498696644999,1.5
2025-07-04,1979.25,11.59375,11.09375,1685.8692173415,0.6
2025-07-05,0.0,0.0,0.0,17.9075923396,2.8
2025-07-06,0.0,0.0,0.0,0.0,0.4
2025-07-07,22.75,6.0,1024.5,519.2565934731,1.3
2025-07-08,2474.875,14.6875,167.6875,1490.9714819316,3.3
2025-07-09,1415.75,13.3125,14.21875,1406.7694487323001,3.1
2025-07-10,1718.125,14.71875,15.59375,1774.1009537244001,2.6
2025-07-11,2767.375,14.6875,85.21875,1938.6771452393996,2.9
2025-07-12,1655.25,14.8125,15.6875,2555.8843021502,4.5
2025-07-13,673.25,14.6875,15.6875,2484.1759099128,3.0
2025-07-14,762.25,14.5,15.71875,1568.1907890878003,0.0
2025-07-15,988.5,14.40625,436.59375,1929.5030302711998,0.1
2025-07-16,1121.625,14.5,991.6875,2017.1825663554005,0.1
2025-07-17,2062.875,14.5,1826.21875,2621.8436513684005,0.8
2025-07-18,1962.5,14.5,1771.40625,2336.6617949771003,0.8
2025-07-19,1553.875,14.59375,1516.875,2034.9960358207998,0.1
2025-07-20,2246.625,14.59375,1901.125,2694.9014866777993,1.5
2025-07-21,2062.0,14.59375,1983.6875,2457.6709350891997,0.8
2025-07-22,1735.25,14.5,1606.09375,1964.3752518125,0.4
2025-07-23,1797.25,14.40625,1629.3125,2021.9580915399997,0.8
2025-07-24,2016.0,14.5,1762.90625,2201.5228953849,1.6
2025-07-25,2608.5,14.59375,2087.375,2849.1274690445,2.3
2025-07-26,1910.375,14.5,1698.625,2217.0352561447003,1.4
2025-07-27,1781.625,14.5,1613.09375,2055.9128147999,1.3
2025-07-28,2246.875,14.5,1864.09375,2621.0552539742,1.8
2025-07-29,2594.625,14.3125,2711.59375,3267.9053452413,2.6
2025-07-30,3358.5,14.40625,3258.21875,4009.7048351931003,3.3
2025-07-31,3073.75,14.5,3049.78125,3256.4002847698002,2.2
2025-08-01,1421.25,14.40625,1328.71875,1696.5152829219003,0.5
2025-08-02,1866.625,14.5,1926.1875,2086.5965687025,1.1
2025-08-03,2873.75,14.59375,2948.90625,3371.8164449452,2.8
2025-08-04,2437.25,14.59375,2430.5,2700.5430092399997,1.5
2025-08-05,1381.25,14.40625,1338.5,1690.1074237673997,0.7
2025-08-06,1515.875,14.40625,1461.6875,1648.1953026879003,0.1
2025-08-07,2222.625,14.375,2129.0,2390.3772340839,1.0
2025-08-08,1621.125,14.3125,1509.21875,1901.4384207072003,0.7
2025-08-09,2075.0,14.5,1995.1875,2312.9608759401003,1.4
2025-08-10,2948.5,14.1875,2965.59375,2821.6621813768006,1.5
2025-08-11,2783.0,14.3125,2895.8125,2765.3304399159997,1.7
2025-08-12,3238.625,14.40625,3277.09375,3282.7376973079995,3.5
2025-08-13,3227.375,14.28125,3424.3125,3054.3492805208,1.7
2025-08-14,3574.25,14.21875,3586.78125,3356.0580341317996,2.9
2025-08-15,3035.125,14.40625,3078.90625,3095.497939273399,2.7
2025-08-16,2821.5,14.375,2750.1875,2836.1125381289,2.1
2025-08-17,2666.375,14.40625,2725.40625,2713.5405901704003,1.1
2025-08-18,1977.375,22.90625,2714.8125,2224.7855637675,1.0
2025-08-19,2550.25,14.3125,2669.40625,2621.4465532388995,1.2
2025-08-20,1942.625,14.5,1931.6875,2081.2333450452998,0.7
2025-08-21,1619.0,14.59375,1570.8125,1897.7714013497998,0.8
2025-08-22,1406.5,14.40625,2660.78125,2325.7801387100003,1.8
2025-08-23,1338.875,21.1875,3587.21875,2865.075863033,2.4
2025-08-24,5361.25,14.40625,15.28125,2813.2190788606995,1.4
2025-08-25,6075.25,14.40625,15.40625,3351.6654407721994,1.8
